f(x)=x
-9.454, -9.454
-9.189, -9.189
-8.362, -8.362
-8.207, -8.207
-7.990, -7.990
-7.764, -7.764
-6.190, -6.190
-5.908, -5.908
-5.376, -5.376
-5.227, -5.227
-5.079, -5.079
-4.622, -4.622
-4.368, -4.368
-3.549, -3.549
-3.336, -3.336
-2.735, -2.735
-2.563, -2.563
-2.239, -2.239
-1.515, -1.515
-1.119, -1.119
-0.677, -0.677
-0.660, -0.660
0.074, 0.074
0.810, 0.810
0.892, 0.892
0.907, 0.907
1.682, 1.682
2.499, 2.499
2.544, 2.544
2.655, 2.655
2.908, 2.908
3.122, 3.122
3.661, 3.661
3.965, 3.965
4.551, 4.551
4.908, 4.908
5.018, 5.018
5.863, 5.863
6.148, 6.148
6.602, 6.602
7.218, 7.218
7.498, 7.498
8.069, 8.069
8.353, 8.353
8.407, 8.407
8.455, 8.455
8.930, 8.930
9.024, 9.024
9.998, 9.998
