f(x)=(((sin(x) * sin(x)) - cos(1)) + (cos(tan(-6.48)) * cos(x)))
-9.695, -1.413
-9.557, -1.494
-9.378, -1.517
-9.346, -1.511
-8.891, -1.126
-8.853, -1.071
-8.456, -0.417
-8.344, -0.223
-8.166, 0.065
-7.539, 0.667
-6.596, 0.487
-6.426, 0.450
-6.403, 0.447
-6.374, 0.444
-5.940, 0.496
-5.670, 0.593
-5.087, 0.684
-4.724, 0.471
-4.712, 0.459
-4.498, 0.206
-4.378, 0.030
-4.326, -0.052
-3.903, -0.773
-3.257, -1.501
-3.171, -1.519
-2.068, -0.236
-1.733, 0.275
-1.415, 0.588
-1.328, 0.637
-1.254, 0.668
-0.937, 0.689
-0.812, 0.661
-0.644, 0.604
0.372, 0.505
0.730, 0.635
1.041, 0.700
1.305, 0.648
1.419, 0.585
1.533, 0.496
1.609, 0.421
1.709, 0.306
2.023, -0.160
2.459, -0.902
3.317, -1.475
3.720, -1.062
5.066, 0.679
5.303, 0.695
5.742, 0.565
6.154, 0.448
6.484, 0.460
7.072, 0.654
7.125, 0.669
7.156, 0.677
7.427, 0.694
7.616, 0.635
7.629, 0.629
7.968, 0.335
7.983, 0.317
8.151, 0.087
8.682, -0.805
8.904, -1.142
8.922, -1.167
9.605, -1.472
