f(x)=(-3.61 + x)
-9.057, -12.667
-8.787, -12.397
-8.371, -11.981
-8.342, -11.952
-8.301, -11.911
-8.233, -11.843
-7.984, -11.594
-7.544, -11.154
-6.666, -10.276
-6.390, -10.000
-5.619, -9.229
-5.175, -8.785
-5.105, -8.715
-3.941, -7.551
-2.631, -6.241
-2.575, -6.185
-2.485, -6.095
-2.015, -5.625
-1.874, -5.484
-1.338, -4.948
-1.011, -4.621
-0.364, -3.974
0.904, -2.706
1.085, -2.525
1.295, -2.315
1.532, -2.078
2.133, -1.477
3.097, -0.513
3.784, 0.174
4.169, 0.559
5.455, 1.845
5.713, 2.103
6.380, 2.770
7.281, 3.671
7.893, 4.283
8.039, 4.429
9.838, 6.228
