f(x)=((x + tan(-4)) / x)
-9.757, 1.119
-9.245, 1.125
-9.112, 1.127
-9.079, 1.128
-8.754, 1.132
-8.564, 1.135
-7.972, 1.145
-7.614, 1.152
-7.423, 1.156
-7.306, 1.158
-6.920, 1.167
-6.726, 1.172
-6.242, 1.186
-6.129, 1.189
-4.480, 1.258
-4.417, 1.262
-4.288, 1.270
-4.105, 1.282
-3.810, 1.304
-3.255, 1.356
-2.752, 1.421
-2.204, 1.525
-2.139, 1.541
-2.005, 1.577
-1.980, 1.585
-1.404, 1.824
-1.353, 1.856
-1.298, 1.892
-0.820, 2.412
-0.628, 2.844
-0.453, 3.558
0.247, -3.689
0.530, -1.185
1.236, 0.063
1.842, 0.371
2.108, 0.451
2.219, 0.478
2.607, 0.556
2.634, 0.560
2.875, 0.597
3.095, 0.626
3.128, 0.630
3.790, 0.695
4.027, 0.712
4.403, 0.737
4.949, 0.766
5.063, 0.771
5.901, 0.804
7.396, 0.843
7.461, 0.845
7.548, 0.847
8.051, 0.856
8.467, 0.863
8.526, 0.864
8.982, 0.871
9.287, 0.875
9.730, 0.881
9.894, 0.883
